mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time_ms
tmi9.xml,tmi1.xml,Template3,PASSED,3,3,15
tmi1.xml,tmi9.xml,Template1,PASSED,3,3,13
tmi9.xml,tadSyncid1id2.xml,Template5,FAILED,5,4,8
tadSyncid1id2.xml,tmi9.xml,Template1,PASSED,3,3,9
tmi9.xml,tadSyncid4id1.xml,Template4,FAILED,4,1,6
tadSyncid4id1.xml,tmi9.xml,Template1,PASSED,2,2,6
tmi9.xml,ccn2.xml,Template1,PASSED,2,2,8
ccn2.xml,tmi9.xml,Template1,PASSED,1,1,9
tmi9.xml,tadSyncid3id4.xml,Template4,FAILED,4,2,7
tadSyncid3id4.xml,tmi9.xml,Template2,PASSED,2,2,7
tmi9.xml,tadSyncid2id4.xml,Template4,FAILED,4,4,7
tadSyncid2id4.xml,tmi9.xml,Template1,PASSED,2,2,6
tmi9.xml,cxs1.xml,Template4,PASSED,4,4,7
cxs1.xml,tmi9.xml,Template4,FAILED,10,1,6
tmi9.xml,smiTemplateid4.xml,template,TIMEOUT,0,0,0
smiTemplateid4.xml,tmi9.xml,Template1,FAILED,6,1,6
tmi9.xml,tadSyncid0id0.xml,Template4,FAILED,4,2,9
tadSyncid0id0.xml,tmi9.xml,Template1,PASSED,2,2,7
tmi9.xml,tadSyncid3id0.xml,Template5,FAILED,5,2,9
tadSyncid3id0.xml,tmi9.xml,Template3,PASSED,3,3,8
tmi9.xml,tmi4.xml,Template2,PASSED,3,3,6
tmi4.xml,tmi9.xml,Template2,PASSED,4,4,8
tmi9.xml,tadSyncid0id3.xml,Template2,FAILED,5,2,6
tadSyncid0id3.xml,tmi9.xml,Template2,PASSED,3,3,6
tmi9.xml,tadSyncid0id4.xml,Template4,FAILED,4,1,7
tadSyncid0id4.xml,tmi9.xml,Template1,PASSED,2,2,6
tmi9.xml,tadSyncid3id2.xml,Template5,FAILED,5,1,6
tadSyncid3id2.xml,tmi9.xml,Template1,PASSED,3,3,7
tmi9.xml,tadSyncid5id0.xml,Template4,FAILED,4,1,10
tadSyncid5id0.xml,tmi9.xml,Template1,PASSED,2,2,7
tmi9.xml,tadSyncid3id1.xml,Template5,FAILED,5,1,7
tadSyncid3id1.xml,tmi9.xml,Template2,PASSED,3,3,7
tmi9.xml,tadSyncid1id4.xml,Template4,FAILED,4,4,7
tadSyncid1id4.xml,tmi9.xml,Template2,PASSED,2,2,7
tmi9.xml,tadSyncid2id3.xml,Template2,FAILED,5,2,6
tadSyncid2id3.xml,tmi9.xml,Template2,PASSED,3,3,7
tmi9.xml,tadSyncid5id3.xml,Template1,FAILED,4,2,7
tadSyncid5id3.xml,tmi9.xml,Template1,PASSED,2,2,7
