mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time_ms
ccn4.xml,tadSyncid9id12.xml,Template4,FAILED,4,1,13
tadSyncid9id12.xml,ccn4.xml,Template3,FAILED,3,1,4
ccn4.xml,tadSyncid6id13.xml,Template1,FAILED,3,1,5
tadSyncid6id13.xml,ccn4.xml,Template1,FAILED,2,1,4
ccn4.xml,tmi9.xml,Template2,FAILED,2,1,5
tmi9.xml,ccn4.xml,Template1,FAILED,3,1,7
ccn4.xml,tadSyncid10id9.xml,Template3,FAILED,4,1,6
tadSyncid10id9.xml,ccn4.xml,Template3,FAILED,3,1,4
ccn4.xml,tadSyncid1id8.xml,Template1,FAILED,3,1,6
tadSyncid1id8.xml,ccn4.xml,Template2,FAILED,2,1,5
ccn4.xml,tadSyncid8id12.xml,Template2,FAILED,4,1,5
tadSyncid8id12.xml,ccn4.xml,Template2,FAILED,3,1,4
ccn4.xml,tadSyncid11id6.xml,Template3,FAILED,4,1,5
tadSyncid11id6.xml,ccn4.xml,Template2,FAILED,3,1,3
ccn4.xml,tadSyncid5id9.xml,Template3,FAILED,4,1,4
tadSyncid5id9.xml,ccn4.xml,Template2,FAILED,3,1,3
ccn4.xml,tadSyncid11id3.xml,Template2,FAILED,4,1,4
tadSyncid11id3.xml,ccn4.xml,Template2,FAILED,3,1,4
ccn4.xml,smiNoRedundantTemplateid10.xml,Template2,FAILED,2,1,3
smiNoRedundantTemplateid10.xml,ccn4.xml,Template8,FAILED,8,1,4
ccn4.xml,tadSyncid1id2.xml,Template2,FAILED,3,1,4
tadSyncid1id2.xml,ccn4.xml,Template2,FAILED,2,1,4
ccn4.xml,tadSyncid11id9.xml,Template4,FAILED,4,1,3
tadSyncid11id9.xml,ccn4.xml,Template3,FAILED,3,1,4
ccn4.xml,tadSyncid4id1.xml,Template1,FAILED,3,1,3
tadSyncid4id1.xml,ccn4.xml,Template1,FAILED,2,1,3
ccn4.xml,smiTemplateid10.xml,Template2,FAILED,2,1,3
smiTemplateid10.xml,ccn4.xml,Template1,FAILED,8,1,3
ccn4.xml,tmi17.xml,Template2,FAILED,2,1,3
tmi17.xml,ccn4.xml,Template2,FAILED,4,1,4
ccn4.xml,smiTemplateid5.xml,Template2,FAILED,2,1,4
smiTemplateid5.xml,ccn4.xml,Template1,FAILED,7,1,3
ccn4.xml,tadSyncid4id10.xml,Template1,FAILED,4,1,3
tadSyncid4id10.xml,ccn4.xml,Template1,FAILED,3,1,4
ccn4.xml,tadSyncid12id13.xml,Template1,FAILED,3,1,4
tadSyncid12id13.xml,ccn4.xml,Template1,FAILED,2,1,3
ccn4.xml,smiTemplateid2.xml,Template3,FAILED,3,1,3
